"sensor_id","dist_res_m","dist_ter_m","dist_sec_m","dist_pri_m","residential","grass","retail","commercial","industrial","brownfield","religious","construction","meadow","forest","farmland","recreation_ground","plant_nursery","railway","cemetery","farmyard","military","village_green","others"
"417","4.744657862774477","249.55823897052275","3585.7213645272045","545.546635199895","0.0000","0.0359","0.0012","0.0006","0.0298","0.0004","0.2119","0.0038","0","0","0","0","0","0","0","0","0","0","0"
"489","6.570441387542469","0.6031934570522466","252.06728232669155","466.54629270174615","0.0075","0.0043","0.0230","0.1660","0.1193","0.0019","0","0","0","0","0","0","0","0","0","0","0","0","0"
"547","50.76066466284624","207.91337160908765","702.9271904843808","129.93100285233538","0.0076","0.0000","0.0012","0.0005","0.2304","0.0367","0","0","0","0","0","0","0","0","0","0","0","0","0"
"565","1.5035245587902484","3.47629977790953","3098.0355425186253","1378.560981371306","0.0014","0.2397","0.0000","0.0071","0.2424","0.0420","0.0004","0.0003","0.0743","0","0","0","0","0","0","0","0","0","0"
"567","2.466699445458639","0.8783212899405289","176.85837392622335","466.5122741297439","0.0075","0.0047","0.0006","0.5861","0.0685","0.0009","0","0","0","0","0","0","0","0","0","0","0","0","0"
"573","0.46554885592635703","194.9839332059291","1241.1014301761302","363.1796576787095","0.0008","0.0002","0.0003","0.1063","0.0005","0.0030","0.3562","0.0049","0","0","0","0","0","0","0","0","0","0","0"
"583","0.597624865195992","254.2532936939766","268.7609322431618","1.193596761033989","0.0125","0.0004","0.0007","0.0083","0.0353","0.0001","0.0025","0.0002","0.0649","0.0013","0","0","0","0","0","0","0","0","0"
"589","27910.740866396467","27745.61189868598","27822.6911115313","26922.863068990635","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1507","16.188909308540136","491.64571596345303","542.6180251861526","269.92335184823696","0.0213","0.0002","0.0007","0.0123","0.0273","0.0001","0.0003","0.0598","0.0013","0","0","0","0","0","0","0","0","0","0"
"1648","0.9151771205611822","617.7515229858009","868.2155501416003","317.36713423087787","0.0082","0.0064","0.0007","0.0351","0.0107","0.6768","0.0304","0","0","0","0","0","0","0","0","0","0","0","0"
"1650","0.3257675708704844","117.82451161361875","571.0191632688731","425.8746546334165","0.0009","0.0073","0.2815","0.0116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1656","9.245093237755928","438.27996866674545","17.75385895098221","656.8770362846284","0.0214","0.0000","0.6915","0.0177","0.0002","0.3682","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1680","3.627015118044037","98.2655810103037","487.85385076830016","1118.3198023822188","0.0001","0.0080","0.0004","0.0412","0.0255","0.0007","0.4650","0.0086","0","0","0","0","0","0","0","0","0","0","0"
"1684","11.509301006334667","127.00983087214084","740.0154275089537","709.1224732606414","0.0043","0.0021","0.0001","0.0165","0.0005","0.5461","0.0512","0.0013","0","0","0","0","0","0","0","0","0","0","0"
"1796","25485.191799563116","25281.368702754306","25586.367565031967","24840.99539393166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1816","23.77693490473954","76.92905346585528","609.0633838722591","324.0595302275065","0.0000","0.0039","0.0007","0.0001","0.0001","0.0015","0.1779","0.0018","0","0","0","0","0","0","0","0","0","0","0"
"1846","27.500303591461183","366.1681427176584","37.10341208520126","363.66288205489144","0.0002","0.2586","0.0009","0.0005","0.0006","0.0000","0.0002","0.0002","0.4161","0.0219","0","0","0","0","0","0","0","0","0"
"1848","28.882002453677803","1150.9381292542116","634.5114657695938","720.0341697703295","0.0070","0.0158","0.6052","0.0735","0.0009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1850","38.077001819951654","195.79908995346574","121.93709213802944","321.6560893466168","0.0012","0.0490","0.0065","0.0011","0.0016","0.0027","0.2541","0.0460","0","0","0","0","0","0","0","0","0","0","0"
"1852","26.960738327906704","562.4688217952902","491.43099208986604","705.5111123910641","0.0031","0.0161","0.0024","0.0498","0.5444","0.0252","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1858","26.08952302402766","73.16045725650379","324.01337942974044","933.1122758210864","0.0122","0.0014","0.0406","0.0001","0.5497","0.0359","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1914","1670.2759316085928","1878.4972468551173","2040.6440400692295","1838.5184860578513","0.0029","0.0349","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1922","1291.210678021066","1497.571895296266","1659.7165823530581","1659.324840356544","0.0019","0.0071","0.0863","0.0277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1956","49.45396252633598","770.4491391138084","27.485980737510026","399.6193649640786","0.2726","0.0025","0.0004","0.2430","0.0010","0.0012","0.1345","0.0194","0","0","0","0","0","0","0","0","0","0","0"
"1968","40874.53569436378","40735.40747650151","40765.55987984158","39837.60558407812","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1976","0.34512624294822264","321.90329674122216","3245.961067768283","665.9157059976081","0.0014","0.1288","0.0013","0.0006","0.0416","0.0004","0.2382","0.0038","0","0","0","0","0","0","0","0","0","0","0"
"2008","1331.7165349403394","1149.2355185688657","1143.5139047913526","643.1547214444063","0.0019","0.0001","0.1591","0.0336","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2018","1364.1617125141265","1175.72365562496","1117.8743818151572","312.83301006325354","0.0019","0.1673","0.0205","0.0039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020","2087.2660710820956","1964.3670870512346","1948.1311733260666","972.567609830483","0.0714","0.0096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025","1781.2436121707713","1851.216711045792","1850.7904321535345","1137.0726346563074","0.0880","0.0096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2051","0.0033636846842283914","1.576333183277283","3190.329703663516","1470.1922223295367","0.0014","0.2323","0.0000","0.0071","0.2281","0.0408","0.0004","0.0003","0.0644","0","0","0","0","0","0","0","0","0","0"
"2169","994.3918784351765","1156.8008601520446","1203.6022749094993","1198.3018988945034","0.0019","0.0064","0.0002","0.1425","0.0708","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2259","13.691641110179942","3.2665886735155696","191.47061215574396","602.6011326971719","0.0062","0.0008","0.0118","0.7482","0.0120","0.0004","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2263","0.6124607748516003","219.01755562720348","235.14783734909386","688.7395560342356","0.0002","0.0026","0.0071","0.0000","0.5273","0.0946","0.0001","0","0","0","0","0","0","0","0","0","0","0","0"
"2297","132.44497514903264","544.357927055346","25.90823900382542","1446.7564814676664","0.0003","0.0084","0.0013","0.0007","0.0038","0.0015","0.0002","0.0035","0.6978","0.0225","0","0","0","0","0","0","0","0","0"
"2303","1725.1173379272989","1537.0416083201537","1494.1135134998383","532.5807832942522","0.1387","0.0096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2307","2214.064471255089","2316.746083457054","2315.540568183472","1485.749289239137","0.0294","0.0025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2315","34.262107780587634","304.63601259044856","22.003613635381885","1207.045752041033","0.0003","0.0087","0.0016","0.0006","0.0046","0.0002","0.0035","0.7159","0.0242","0","0","0","0","0","0","0","0","0","0"
"2323","1984.4877415091216","2173.7438093635137","2245.5091495044812","1648.4820709743246","0.0316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2336","1452.8544985815568","1634.7393290061736","1704.7914399020515","1348.3398213928829","0.0019","0.0026","0.1058","0.0120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2348","2017.193828029792","2205.7847622636414","2272.342927782318","1655.266258248674","0.0274","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2352","2.5499066188625887","158.18461695038957","39.31274652842025","314.42647865158744","0.0005","0.0148","0.0037","0.0040","0.0078","0.0017","0.0018","0.0294","0","0","0","0","0","0","0","0","0","0","0"
"2356","1643.161255704555","1506.5559589266988","1344.7347646919923","316.39712309183983","0.1411","0.0096","0.0003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2360","1631.4708262357299","1802.0459561017494","1804.3964096693608","1248.886220065762","0.0007","0.0946","0.0089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2362","34.484159647251815","36.70697636613957","22.815252003565","280.0094859635175","0.0017","0.0002","0.0108","0.0607","0.0088","0.0125","0.0045","0.0275","0.0048","0","0","0","0","0","0","0","0","0","0"
"2366","1450.582892652514","1393.0840420907405","1403.7248991040526","942.3505529270831","0.0622","0.0171","0.0111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2370","1980.88224142739","2021.4590331894465","2018.7138119731824","1203.3810114776454","0.0638","0.0093","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2372","627.8496253240594","901.891744277852","1032.2630925541382","1998.1001361836804","0.0019","0.0071","0.0012","0.0844","0.1750","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2380","2169.903652237437","2274.757330956417","2273.8467713984064","1456.8683401979915","0.0351","0.0032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2404","85.3413007301451","504.5664504698704","42.35368654156653","1523.7638256399218","0.0003","0.0105","0.0017","0.0007","0.0036","0.0036","0.0002","0.0031","0.6935","0.0249","0","0","0","0","0","0","0","0","0"
"2414","32.466805055262334","264.4361086173279","24.968852363292374","1166.405036847433","0.0003","0.0089","0.0017","0.0006","0.0046","0.0002","0.0035","0.7170","0.0248","0","0","0","0","0","0","0","0","0","0"
"2430","4646.001094718335","4836.222525700975","4680.0257593217075","4696.7915987522365","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2440","14.955073681922276","751.1042307042421","87.09963478917521","2887.835075773536","0.0131","0.6572","0.2099","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2462","66.80546016677778","0.9431457925701185","55.349679746670404","416.41228427056325","0.0085","0.0010","0.0124","0.7401","0.0120","0.0004","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2464","34.94969654541074","158.56039692044203","259.7598525845966","224.06059332844197","0.0001","0.0013","0.0014","0.0001","0.0050","0.0018","0.2961","0.0646","0","0","0","0","0","0","0","0","0","0","0"
"2504","122.64430547897443","221.48092722165026","269.0837104567919","228.98339186305043","0.0050","0.0012","0.0003","0.2601","0.0581","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2516","47.1642422289323","48.97338900951516","425.8494519129892","427.39763523256016","0.0021","0.0090","0.7108","0.0200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2620","39.03376726632399","524.5721618735165","25.506149113173706","1479.1375684471466","0.0004","0.0104","0.0017","0.0007","0.0036","0.0036","0.0002","0.0031","0.6949","0.0245","0","0","0","0","0","0","0","0","0"
"2624","131.47254675956418","566.4850116512807","57.31794502125467","1419.7065924983926","0.0004","0.0192","0.0014","0.0007","0.0036","0.0027","0.0002","0.0029","0.6664","0.0304","0","0","0","0","0","0","0","0","0"
"2626","477.64427914845925","138.03049024469814","1002.4324542478016","119.48161735122774","0.1000","0.1047","0.0119","0.5001","0.6783","0.0134","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2632","89.47912400449707","491.4064003228807","32.990361355915695","1532.917451300882","0.0003","0.0105","0.0017","0.0007","0.0036","0.0036","0.0002","0.0031","0.6933","0.0253","0","0","0","0","0","0","0","0","0"
"2649","95.02911204252239","264.4242351011965","150.62946445209255","2215.2956954510514","0.0972","0.2269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2713","40.86735314960726","190.0706167952545","414.95189305141866","25.61790648931154","0.0076","0.0012","0.0011","0.2804","0.0568","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2749","21.287328601450564","404.2678500813277","461.63826872796176","2188.008879408092","0.0805","0.0109","0.0003","0.0036","0.6742","0.0010","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2756","15.249201443930843","105.67502539004124","83.7321251514978","397.175456294098","0.0126","0.0012","0.0006","0.0042","0.0020","0.0009","0.0079","0","0","0","0","0","0","0","0","0","0","0","0"
"2766","17.8016996100749","266.35586519794896","486.9814511037264","414.8144854347072","0.0041","0.0061","0.0013","0.0004","0.0038","0.5028","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2835","48777.31300575294","48531.208386741084","48747.385246064056","47926.49352251234","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2920","25725.0813342185","25489.042663551663","25769.46466303953","25004.779193164275","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3477","50.71870983229288","592.3095976286021","117.12543245221639","1687.929503192472","0.1158","0.0006","0.0790","0.0014","0.4003","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3479","34.47758737735391","137.04948617012403","536.8955362555411","1307.5208646874053","0.0004","0.0152","0.0005","0.1492","0.0252","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3483","27.28209502534145","441.62218769928353","440.47449488207195","828.7385037591023","0.0012","0.0018","0.0005","0.0007","0.5094","0.0428","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3487","33.59159067388389","105.78890409184827","797.9783134795837","899.2406620125454","0.0006","0.0004","0.0002","0.3023","0.0103","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3497","30.725593227333544","93.32702376265473","380.3464162868522","84.24396967092477","0.0275","0.0031","0.0238","0.4149","0.0923","0.0064","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3515","24.245398289618194","242.00571133309194","21.66881240880636","1147.4679391791192","0.0012","0.0014","0.0005","0.0019","0.0007","0.4384","0.0349","0.0000","0","0","0","0","0","0","0","0","0","0","0"
"3529","103.81755968236713","82.26615218604618","597.7213935478356","884.0037967690845","0.0003","0.0076","0.0002","0.0012","0.0002","0.4892","0.0669","0.0002","0","0","0","0","0","0","0","0","0","0","0"
"3551","41.50548233098308","74.54594945060516","358.331818409392","1101.1218315626875","0.0004","0.0008","0.0002","0.3635","0.0183","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3586","10.781562318841898","440.0725935257369","18.455893337669426","890.634256686185","0.0018","0.0537","0.0008","0.0003","0.0285","0.0027","0.0128","0.6331","0.0372","0","0","0","0","0","0","0","0","0","0"
"3617","112.5228079303074","41.542784018018146","338.2622654132497","5.946909111516544","0.0012","0.0009","0.0002","0.4554","0.0283","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3779","26.672152802958834","546.7162510500247","247.1395809737617","59.392727978010605","0.0008","0.0002","0.0012","0.0035","0.0018","0.0001","0.2654","0.0428","0","0","0","0","0","0","0","0","0","0","0"
"3860","10072.448201450388","9877.696377491064","10245.647245362617","9591.97879507817","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4058","60.438985125890106","239.66418867871985","544.4098875392801","7.685447063969113","0.0082","0.0011","0.0001","0.0008","0.0015","0.0011","0.0004","0.4214","0.0298","0.0013","0","0","0","0","0","0","0","0","0"
"4069","21.983927655657226","320.6360398371133","441.31485649175215","83.24098609642864","0.0004","0.0066","0.0010","0.2963","0.0023","0.0012","0.0002","0.2968","0.0094","0","0","0","0","0","0","0","0","0","0"
"4109","47.74627161793963","451.07781067513037","314.81338516119524","38.18546158508995","0.0002","0.0004","0.0014","0.0019","0.0005","0.0002","0.1132","0.0188","0","0","0","0","0","0","0","0","0","0","0"
"4399","22.164758542812343","272.98608160271505","102.8538086485479","1894.0097316664421","0.0227","0.0023","0.0039","0.4591","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4417","35.851924563068664","62.76590147090833","3399.973072837566","1542.32593634499","0.0011","0.2043","0.0066","0.1433","0.0330","0.0004","0.0003","0.0789","0","0","0","0","0","0","0","0","0","0","0"
"4549","45.69764055948025","181.42814267038707","1168.5350015206234","1168.5350015206234","0.0011","0.0021","0.0009","0.0116","0.0022","0.6887","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4567","21.68418164316586","260.44527779465415","457.79871326903753","2082.8690617924876","0.0394","0.0023","0.0039","0.5279","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4571","59.975504400449765","41.480481972475644","109.60326162784226","263.72589239944523","0.0016","0.0027","0.0109","0.0039","0.0084","0.0011","0.1502","0.0212","0","0","0","0","0","0","0","0","0","0","0"
"4662","27.823672325143818","22.409321190359965","143.3082796834592","424.0936729040409","0.0073","0.0042","0.0013","0.0002","0.3750","0.0488","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4670","52.71052729997689","198.93359718863562","270.20914007708944","1526.548641027209","0.0006","0.0007","0.2396","0.0004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4686","35.42847574093906","101.93018107011407","2.7164519585602624","1104.1104708269277","0.0004","0.3611","0.0341","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4689","47.51365370706196","199.9387372382979","1007.94903408985","152.08959272891732","0.0008","0.0005","0.4465","0.0290","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4725","21.035956548888073","85.73469574701721","447.7961429645722","700.2980235452628","0.0018","0.0351","0.0007","0.3096","0.0156","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4746","1.0151276118515644","341.95585379916037","193.76700808999303","814.2736718221507","0.0219","0.0018","0.0043","0.0009","0.4738","0.0949","0.0060","0","0","0","0","0","0","0","0","0","0","0","0"
"4974","32614.93853981193","32412.053025260328","32553.893954888015","31689.530671903434","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5016","309.7205563325734","268.13738654074706","1241.680935605291","205.55917656231154","0.0030","0.3059","0.3310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5061","87.25372441991637","13.433881045168901","79.1466026919692","208.79079414425735","0.0016","0.0027","0.0118","0.0048","0.0080","0.0011","0.1656","0.0218","0","0","0","0","0","0","0","0","0","0","0"
"5080","43.610510352250614","102.66099608034746","698.465577401661","290.23534501335183","0.0047","0.0021","0.0007","0.0038","0.5529","0.0576","0.0012","0","0","0","0","0","0","0","0","0","0","0","0"
"5218","39.56356313440979","158.49629728646445","669.2948757994687","272.68835338291984","0.0134","0.0021","0.0001","0.0295","0.5496","0.0611","0.0013","0","0","0","0","0","0","0","0","0","0","0","0"
"5222","17.295073672343104","166.04975998794018","496.89289565416635","188.685149306026","0.0047","0.0010","0.0005","0.0030","0.0009","0.5115","0.0591","0.0069","0","0","0","0","0","0","0","0","0","0","0"
"5228","29.17951004151852","154.82938074581185","844.8557185562307","1403.0730586094994","0.0481","0.0054","0.0000","0.1575","0.0172","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5264","37241.36281349361","37318.501987031654","39614.64685414218","38730.04069658707","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5504","37.881016449142514","98.75899142024927","362.1035610116061","2770.36136537554","0.0080","0.0066","0.0018","0.0014","0.0853","0.0061","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5510","91.97537092727009","2122.3789237810047","1197.5815298714763","4244.139512819799","0.0065","0.0002","0.0514","0.0170","0.0018","0.0035","0.0006","0.3616","0.0009","0","0","0","0","0","0","0","0","0","0"
"5574","0.23329712836103444","201.24798337204078","200.01343531599957","597.0807266119997","0.0054","0.0018","0.0228","0.0007","0.4409","0.0131","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5810","14.664607826769068","2.8702598846475547","328.6405752338046","2269.9997717452625","0.2232","0.0001","0.0004","0.0125","0.0004","0.2576","0.0101","0","0","0","0","0","0","0","0","0","0","0","0"
"5844","5.953558578986538","175.75133253815847","185.75580226335168","182.37917228787583","0.0008","0.0133","0.0854","0.0056","0.0002","0.0074","0.0163","0.0002","0.0006","0.0009","0.0013","0.0057","0.2900","0.1034","0","0","0","0","0"
"5852","5.554494026301482","4.281760125851721","667.6559715625034","635.896121891314","0.0001","0.0046","0.0014","0.0004","0.0098","0.0026","0.3860","0.0472","0","0","0","0","0","0","0","0","0","0","0"
"5894","51.83631653652112","322.45297394638067","506.61255297905876","1.9098076863300146","0.0123","0.0005","0.0085","0.0000","0.2983","0.0266","0.0010","0","0","0","0","0","0","0","0","0","0","0","0"
"5980","52.08594742600928","286.4175627418535","236.86255136146445","225.85831573308917","0.0012","0.0014","0.0021","0.0009","0.0003","0.3812","0.0724","0.0008","0","0","0","0","0","0","0","0","0","0","0"
"6156","2.0909620282159027","597.7051593678118","1.948222928196031","470.2031359145114","0.0183","0.0021","0.0096","0.0231","0.0277","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6162","0.09836485209155885","280.92320148657615","400.6072906947616","402.1594884399974","0.0030","0.0085","0.0008","0.0020","0.0036","0.0353","0.0044","0.0022","0.2733","0.0473","0","0","0","0","0","0","0","0","0"
"6164","40.505356426963935","67.93842356803015","384.2940665533714","736.1353520443002","0.0012","0.0014","0.0016","0.0003","0.0007","0.5428","0.0341","0","0","0","0","0","0","0","0","0","0","0","0"
